Kecamatan,NPSN,Nama_sekolah,Jenjang,Status,Alamat lengkap,,Telepon,SPP,,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,Pendidik,Tenaga Kependidikan,Gaji Guru,Kurikulum,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Pimpinan Yayasan,PIC/Operator,Nomor Telepon_yayasan,Tanggal SK Pendirian,Umur,Tanggal SK Operasional,Sumber Listrik,meter listrik,luas tanah,harga_listrik_per_bulan,Harga Tanah Pasaran per kecamatan,By power (jumlah siswa * spp),alamat lengkap,estimasi harga tanah sekolah,Website,is_website,is_agama,is_surabaya,Telepon_sekolah,Nama_Kepsek,Nama_Operator_Sekolah,Email_sekolah,average peserta didik yayasan,Lintang,Bujur
KEC. SEMAMPIR,20532791,SMP ISLAM LIL WATHON,SMP,SWASTA,"Jl. Wonokusumo Tengah 53-A, Wonokusumo, Kec. Semampir, Kota Surabaya, Jawa Timur",315044105,031315044105,,,B,145,6,9,2,5,2,1,9,7,,Kurikulum Merdeka,AK3227,YAYASAN ISLAM LIL WATHON SEMAMPIR SURABAYA,4,4,"MOH. SA'RONI, S.Ag",MUAFI,313724317,1994,31,2019,PLN,7700,510,3141600000,6670000,,"Bratang Gede I/26, Ngagelrejo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",3401700000,-,0,1,1,313724317,Siti Wulandari,"FATONI AKMAL,SM",smpislamlilwathon@yahoo.com,131,,
KEC. KREMBANGAN,20561519,TK AISYIYAH BUSTANUL ATHFAL 36,TK,SWASTA,"Jl. Sedayu Vii / 36 Surabaya, Morokrembangan, Kec. Krembangan, Kota Surabaya, Jawa Timur",315044581,031315044581,,,B,1,4,3,1,2,0,0,3,4,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,2013,12,2020,PLN,1200,131,489600000,9840000,,"Jl. Sidotopo Wetan Baru V B No 22, Sidotopo Wetan, Kec. Kenjeran, Kota Surabaya, Jawa Timur",1289040000,-,0,0,1,3199221043,AINUL MASLU'AH,NAZILATUR ROHMAH,aisyiyah36oke@gmail.com,184,,
KEC. WONOKROMO,20533042,SD HASYIM ASYARI,SD,SWASTA,"Bratang Gede I/26, Ngagelrejo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315044111,031315044111,,,B,145,6,11,1,6,1,1,11,9,,Kurikulum Merdeka,AE6704,Hasyim Asyari,1,1,SAMSUL ARIFIN,,-,2009,16,2021,PLN,2200,192,897600000,16890000,,"Jl. Randu Barat V/9, Sidotopo Wetan, Kec. Kenjeran, Kota Surabaya, Jawa Timur",3242880000,http://profilsekolah.dispendik.surabaya.go.id/umum/sekolah.php?id=20533042,1,0,1,3199444450,Kasiti Aningsih,Siti Maisyaroh,hasyimasyarisd@yahoo.co.id,145,#N/A,#N/A
KEC. KENJERAN,69812621,TK SYAFINA,TK,SWASTA,"Jl. Sidotopo Wetan Baru V B No 22, Sidotopo Wetan, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044583,031315044583,,,B,129,6,7,1,7,0,0,7,8,,Kurikulum Merdeka,AH1268,YAYASAN PENDIDIKAN SYAFINA,1,1,NURHAYATI ANISYAH,PUSPITASARI PUTRI PAMUNGKAS,-,2013,12,2021,PLN,2200,140,897600000,9390000,,"Platuk Donomulyo Ii/ 26, Sidotopo Wetan, Kec. Kenjeran, Kota Surabaya, Jawa Timur",1314600000,-,0,0,1,85850133258,AINUR ROFIAH,PUSPITASARI PUTRI PAMUNGKAS,syafina.tk@yahoo.com,129,,
KEC. KENJERAN,69950623,TK BABUS SALAM,TK,SWASTA,"Jl. Randu Barat V/9, Sidotopo Wetan, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044584,031315044584,,,B,174,7,5,1,8,0,0,5,7,,Kurikulum Merdeka,AH1277,Yayasan Babus Salam Kenjeran,1,1,"H. Muhammad Zuhdi, S.Pd., M.Si",Choiriyah,313767834,2016,9,2022,PLN,900,150,367200000,9390000,,"Jl. Diamond Hill Blok Dri No 15A Citra Raya, Made, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",1408500000,http://tkbabussalamsurabaya.blogspot.com,0,0,1,81357277855,MUTMAINAH,Muhamad Hilmi,tk.babussalamsurabaya@gmail.com,174,,
KEC. KENJERAN,69854912,KB NURUL JANNAH,KB,SWASTA,"Platuk Donomulyo Ii/ 26, Sidotopo Wetan, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044585,031315044585,,,B,15,2,1,1,5,0,1,1,2,,Kurikulum Merdeka,AX0885,Yayasan Nurul Jannah Surabaya,2,2,"Muzamil, M.Th.I",Joko Priyanto,-,2013,12,2017,PLN,,152,0,9390000,,"Jl. Siwalnkerto Utara Ii/7 Surabaya, Siwalankerto, Kec. Wonocolo, Kota Surabaya, Jawa Timur",1427280000,-,0,1,1,3736835,ZENITA LIANAWATI,Zenita Lianawati,kbnuruljannah015@gmail.com,67,,
KEC. SAMBI KEREP,69883432,SD SURABAYA TAIPEI SCHOOL,SPK SD,SWASTA,"Jl. Diamond Hill Blok Dri No 15A Citra Raya, Made, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",315044117,031315044117,,,B,146,9,3,1,11,0,0,3,4,,Kurikulum Internasional,AI7365,Yayasan Sekolah Surabaya Taipei,5,5,Leu Chuang Shyong,Mochamad Fajarudin,031-7421217,2014,11,2014,PLN,32000,70000,13056000000,12350000,,"Jl. Panduk No.6, Panjang Jiwo, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",864500000000,http://surabayataipeischool.sch.id/,1,0,1,317421217,Yang Shun Fu,Rifan Iswanto,sts.yay@gmail.com,91,-7.282392,112.62850
KEC. WONOCOLO,20532648,SMP BINA BANGSA SURABAYA,SMP,SWASTA,"Jl. Siwalnkerto Utara Ii/7 Surabaya, Siwalankerto, Kec. Wonocolo, Kota Surabaya, Jawa Timur",315044118,031315044118,,,A,146,6,13,7,11,2,1,13,7,,Kurikulum Merdeka,AE6615,Yayasan Pendidikan Bina Bangsa Surabaya,2,2,"Sulaiman Hasan, M.Pd",Moh Khosyi' Rofiqi,318412297,1976,49,2022,PLN,32998,1075,13463184000,8020000,,"Jl. Kejawan Putih Tambak Gg. Masjid No.9, Kejawen Putih Tambak, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",8621500000,http://www.binabangsa-sby.sch.id,1,0,1,318412297,Setia Budi,ABDULLAH ZIDNI,smpbinabangsa@yahoo.co.id,96,,
KEC. TENGGILIS MEJOYO,20560763,TK TUNAS HARAPAN 82,TK,SWASTA,"Jl. Panduk No.6, Panjang Jiwo, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",315044588,031315044588,,,A,1,2,2,2,2,0,0,2,2,,Kurikulum Merdeka,AH1109,Yayasan Tunas Harapan Delapan Dua,1,1,H.Lelono,,Belum Tersedia,2010,15,2023,PLN,3500,0,1428000000,10000000,,"Jl. Simomulyo Baru I D / 1, Simomulyo Baru, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",0,-,0,0,1,87852603311,Anik Khoirowati,ALFRIANTI KUSMARLANINGSIH,tunas.harapan82@gmail.com,1,,
KEC. MULYOREJO,69992002,TK AL JIHAD,TK,SWASTA,"Jl. Kejawan Putih Tambak Gg. Masjid No.9, Kejawen Putih Tambak, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",315044589,031315044589,,,B,111,8,7,1,8,0,0,7,8,,Kurikulum Merdeka,,,0,0,-,-,-,2019,6,2021,PLN,0,1444,0,15750000,,"Ngagel Jaya Tengah I No 8, Pucang Sewu, Kec. Gubeng, Kota Surabaya, Jawa Timur",22743000000,-,0,1,1,85816471493,Aimmatus Sholihah,BINTI AMINATUZ ZUHRIYAH,tk.aljihadd123@gmail.com,111,,
KEC. SUKOMANUNGGAL,20559280,TK NURUR RAHMAH,TK,SWASTA,"Jl. Simomulyo Baru I D / 1, Simomulyo Baru, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",315044590,031315044590,,,A,90,5,5,1,5,0,1,5,6,,Kurikulum Merdeka,AX9344,YAYASAN MASJID NURUR RAHMAH SIMOMULYO BARU SURABAYA,1,1,"Drs. ABDULLAH SANI, M.Pd",CHOIRUL ASHARI,-,2013,12,2023,PLN,5500,256,2244000000,13750000,,"Jl. Pacar No. 11-17 Surabaya, Ketabang, Kec. Genteng, Kota Surabaya, Jawa Timur",3520000000,-,0,1,1,85730599492,FARIZA YUNIARTI,FARIZA YUNIARTI,tknururrahmah@gmail.com,90,,
KEC. GUBENG,69763687,TPA AL USWAH,TPA,SWASTA,"Ngagel Jaya Tengah I No 8, Pucang Sewu, Kec. Gubeng, Kota Surabaya, Jawa Timur",315044591,031315044591,,,B,2,1,1,1,2,1,0,1,2,,Kurikulum Merdeka,AO5442,Pimpinan Daerah Muhammadiyah (PDM) Kab. Bojonegoro,6,3,"Drs. H. Suwito, M.Si.","Moch. Hikam Rofiqi, S.Pd.",-,2006,19,2021,PLN,2199,0,#N/A,15630000,,"Jl. Pakis Tirtosari Vii / 63 Surabaya, Pakis, Kec. Sawahan, Kota Surabaya, Jawa Timur",0,-,0,1,1,5053277,ETIK RUKMININGSIH,tpa al uswah,tpaaluswahsurabaya@gmail.com,14,,
KEC. GENTENG,20560435,TK KRISTEN GLORIA I,TK,SWASTA,"Jl. Pacar No. 11-17 Surabaya, Ketabang, Kec. Genteng, Kota Surabaya, Jawa Timur",315044592,031315044592,,,A,17,2,3,1,5,0,1,3,5,,Kurikulum Internasional,AW8325,YAYASAN PENDIDIKAN KRISTEN GLORIA,14,5,HERLAMBANG JAYA,Geraldo Pandega Latumahina,317346901,1987,38,2015,PLN,50000,300,20400000000,27590000,,"Jl. Waringin No.1 Surabaya, Sawunggaling, Kec. Wonokromo, Kota Surabaya, Jawa Timur",8277000000,http://www.gloriaschool.org,1,1,1,315452171,FOENG LIANA SELYN PRANATA,Foeng Liana Selyn Pranata,tkkristengloria@yahoo.com,287,,
KEC. SAWAHAN,20562159,TK AL - HIDAYAH,TK,SWASTA,"Jl. Pakis Tirtosari Vii / 63 Surabaya, Pakis, Kec. Sawahan, Kota Surabaya, Jawa Timur",315044593,031315044593,,,A,130,6,6,1,3,0,0,6,6,,Kurikulum Merdeka,AB4911,YAYASAN MASJID HIDAYAH PAKIS TIRTOSARI,1,1,SUWITO,,031-5662285,1988,37,2020,PLN,1200,200,489600000,16040000,,"Dukuh Bulak Banteng Sekolahan Xa, Bulak Banteng, Kec. Kenjeran, Kota Surabaya, Jawa Timur",3208000000,-,0,0,1,89613033026,ADE ERMATUN,Ade ermatun,adeermatun@yahoo.com,130,,
KEC. WONOKROMO,20561877,TK AL - HIDAYAH,TK,SWASTA,"Jl. Waringin No.1 Surabaya, Sawunggaling, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315044594,031315044594,,,B,32,2,1,1,2,0,0,1,3,,Kurikulum Merdeka,AH1199,YAYASAN AL HIDAYAH,1,1,Hj. SULASTRI,Yunita Rahayu,6.28E+17,2011,14,2020,PLN,1300,0,530400000,16890000,,"Perum Ikip Gunung Anyar C 77, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",0,-,0,0,1,811311509,LOLOK MURSIDAH,lolok Mursidah,alhidayahtk036@gmail.com,32,,
KEC. KENJERAN,20561424,TK AL - HIDAYAH,TK,SWASTA,"Dukuh Bulak Banteng Sekolahan Xa, Bulak Banteng, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044595,031315044595,,,B,47,3,3,1,1,0,0,3,4,,Kurikulum Merdeka,AL8978,Al-Amin,1,1,"Fahrudin M.Nur,SE",ALIFA PUTRI UTAMY,-,2011,14,2022,PLN,1300,0,530400000,9390000,,"Manyar Air Das No.1, Manyar Sabrangan, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",0,-,0,0,1,85230358947,"SUMARNI, S.Pd.",SUMARNI,tkalhidayahkenjeran@gmail.com,47,,
KEC. GUNUNGANYAR,69960896,KB KHAIRUNNAS,KB,SWASTA,"Perum Ikip Gunung Anyar C 77, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315044596,031315044596,,,A,46,2,1,1,2,0,0,2,3,,Kurikulum Internasional,AI7135,YAYASAN PENDIDIKAN KHAIRUNNAS,3,3,Drs. MOCH. DJUHARI,WINARTO,318783344,2016,9,2023,PLN,4400,300,1795200000,4900000,,"Jl. Citra Raya Unesa Surabaya, Lidah Wetan, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",1470000000,http://pesantrenkhairunnas.sch.id,1,0,1,87779742677,Shafira Widhia Anggraeni,Layyina Humairoh,kbkhairunnas@gmail.com,105,,
KEC. MULYOREJO,69763456,KB TAMAN CERIA,KB,SWASTA,"Manyar Air Das No.1, Manyar Sabrangan, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",315044597,031315044597,,,A,23,3,5,1,7,0,1,5,6,,Kurikulum Merdeka,AN2224,Persada Prima Surabaya,2,2,"Gayo Sonni Wijaya, ST",Siti Mulyati Canadiantini,5961609,2003,22,2022,PLN,5000,495,2040000000,15750000,,"Jl. Gadel Tengah Iii / 4 Surabaya, Gadel, Kec. Tandes, Kota Surabaya, Jawa Timur",7796250000,-,0,0,1,315998931,Ijemiatik,Fuji Harnani,kbtamanceria@yahoo.co.id,42,,
KEC. LAKARSANTRI,69976788,SMP LABSCHOOL UNESA 3,SMP,SWASTA,"Jl. Citra Raya Unesa Surabaya, Lidah Wetan, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",315044598,031315044598,500000,,A,209,8,17,2,9,2,2,17,13,,Kurikulum Merdeka,AE6563,Yayasan Dharma Wanita Universitas Negeri Surabaya,11,7,"Dra. Endah Purnomowati, M.Pd",SINTA PUTRI DAMAYANTI,318287521,2016,9,2023,PLN,66000,7260,2692800000,12670000,,"Jl. Karang Tembok No. 2, Pegirian, Kec. Semampir, Kota Surabaya, Jawa Timur",91984200000,http://www.spelabsa.sch.id/,1,0,1,3199000331,Dian Hijrah Saputra,Ulung Hananto Erasotyo,smplabschoolunesa@gmail.com,218,-7.299900,112.66460
KEC. TANDES,20561974,TK BHAKTI MULIA,TK,SWASTA,"Jl. Gadel Tengah Iii / 4 Surabaya, Gadel, Kec. Tandes, Kota Surabaya, Jawa Timur",315044599,031315044599,,,B,39,3,3,1,3,0,0,3,4,,Kurikulum Merdeka,AL8928,YAYASAN PENDIDIKAN  PERMATA BUNDA,1,1,Poegoeh Poernomo,,-,2013,12,2022,PLN,1300,386,530400000,8890000,,"Jl. Pogot Ix / 1, Tanah Kali Kedinding, Kec. Kenjeran, Kota Surabaya, Jawa Timur",3431540000,-,0,0,1,895321446700,SUHARIYATI,Elfa Vonistya,bhaktimulia.school@gmail.com,39,,
KEC. SEMAMPIR,20533127,SD KHM NUR,SD,SWASTA,"Jl. Karang Tembok No. 2, Pegirian, Kec. Semampir, Kota Surabaya, Jawa Timur",315044122,031315044122,,,B,146,6,7,2,6,2,1,7,3,,Kurikulum Merdeka,AB4995,LP. MA'ARIF NU KOTA SURABAYA,31,4,"Drs. MOH. KHOLIL, M.Pd.I",MUHAMMAD SHOLIHUDDIN,315317470,1910,115,1910,PLN,3500,0,1428000000,6670000,,"Jl. Gadukan Baru Ii-229 D Surabaya-, Morokrembangan, Kec. Krembangan, Kota Surabaya, Jawa Timur",0,http://www.sdkhmnur.webs.com,1,0,1,3769746,Zakiyah,DWI MULIYAWATI,sdkhmnur@yahoo.co.id,156,-7.224200,112.74810
KEC. KENJERAN,20561405,TK PANCA BHAKTI,TK,SWASTA,"Jl. Pogot Ix / 1, Tanah Kali Kedinding, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044601,031315044601,,,B,144,7,7,1,8,0,0,7,8,,Kurikulum Merdeka,AI7279,YP Panca Bhakti Pogot,1,1,YATIMAN,,-,2011,14,2021,PLN,2200,110,897600000,9390000,,"Perum Ikip Gunung Anyar B.48 Rt 2 / Rw 6, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",1032900000,-,0,0,1,82110716020,CATUR PALUPI,"CATUR PALUPI, S.Pd",tkpancabhakti005@gmail.com,144,,
KEC. KREMBANGAN,20561509,TK NURUL ULUM,TK,SWASTA,"Jl. Gadukan Baru Ii-229 D Surabaya-, Morokrembangan, Kec. Krembangan, Kota Surabaya, Jawa Timur",315044602,031315044602,,,A,91,4,3,1,2,0,0,3,4,,Kurikulum Merdeka,AB4995,LP. MA'ARIF NU KOTA SURABAYA,31,4,"Drs. MOH. KHOLIL, M.Pd.I",MUHAMMAD SHOLIHUDDIN,315317470,2011,14,2023,PLN,3600,75,1468800000,9840000,,"Jl. Rangkah Vi No.55-57, Rangkah, Kec. Tambaksari, Kota Surabaya, Jawa Timur",738000000,-,0,1,1,317495025,Jumiatin,Zahrotul Aini,tnurululum7@gmail.com,156,,
KEC. GUNUNGANYAR,69960895,TK KHAIRUNNAS,TK,SWASTA,"Perum Ikip Gunung Anyar B.48 Rt 2 / Rw 6, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315044603,031315044603,,,A,163,8,4,1,9,0,1,6,9,,Kurikulum Merdeka,AI7135,YAYASAN PENDIDIKAN KHAIRUNNAS,3,3,Drs. MOCH. DJUHARI,WINARTO,318783344,2016,9,2022,PLN,26982,600,11008656000,4900000,,"Jl. Marina Emas Barat I/69, Keputih, Kec. Sukolilo, Kota Surabaya, Jawa Timur",2940000000,-,0,0,1,318783344,DINI ROOSYIANA,Siti Nur Fadhilah,tk.khairunnasnh@gmail.com,105,,
KEC. TAMBAKSARI,20532192,SMKS INDO BARUNA SURABAYA,SMK,SWASTA,"Jl. Rangkah Vi No.55-57, Rangkah, Kec. Tambaksari, Kota Surabaya, Jawa Timur",315044127,031315044127,,,B,146,6,3,4,11,2,1,3,4,,Kurikulum Merdeka,AB5130,YAYASAN CENDIKIA SAMUDRA,1,1,AGUS PUJIONO,SITI NURJANAH,(031)3813612,2000,25,2023,PLN,24000,800,9792000000,8570000,,"Masjid Al Muslimun - Rungkut Barata Raya Surabaya, Rungkut Menanggal, Kec. Gununganyar, Kota Surabaya, Jawa Timur",6856000000,-,0,0,1,313712612,Lamik,Agus Achmad Choirinnas,indobaruna@gmail.com,146,-7.246600,112.76570
KEC. SUKOLILO,20554761,SD BUNGA BANGSA,SD,SWASTA,"Jl. Marina Emas Barat I/69, Keputih, Kec. Sukolilo, Kota Surabaya, Jawa Timur",315044129,031315044129,,,A,147,9,9,5,12,2,1,9,9,,Kurikulum Merdeka,AL8828,Bina Bunga Bangsa,4,4,Ir. Budi Rahardja,ERLINDA OKTAVIA,(031)5946486,2007,18,2021,PLN,33000,1395,13464000000,12000000,,"Jl. Tambak Wedi Tengah I Kav 29, Tambak Wedi, Kec. Kenjeran, Kota Surabaya, Jawa Timur",16740000000,http://www.bungabangsaschool.sch.id,1,0,1,5998426,RA. Christina Damayanti,Anna Astriana,sdbungabangsa@gmail.com,70,,
KEC. GUNUNGANYAR,20560707,TK ISLAM TERPADU INSAN AL MUSLIMUN,TK,SWASTA,"Masjid Al Muslimun - Rungkut Barata Raya Surabaya, Rungkut Menanggal, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315044606,031315044606,,,A,33,2,4,1,6,0,0,4,5,,Kurikulum Merdeka,,,0,0,-,-,-,2011,14,2023,PLN,5500,0,2244000000,4900000,,"Kendangsari Lebar No. 33, Kendangsari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",0,-,0,1,1,318782189,Sulisniati,Sulisniati,tktunasinsan@gmail.com,33,,
KEC. KENJERAN,69904226,KB THE ALF,KB,SWASTA,"Jl. Tambak Wedi Tengah I Kav 29, Tambak Wedi, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044607,031315044607,,,B,16,1,1,1,1,0,0,1,4,,Kurikulum Merdeka,AH1306,Farid Al - Faridzi,2,2,Novanto,PITA RUSMITA,-,2013,12,2020,PLN,,60,0,9390000,,"Tenggumung Baru No 221, Pegirian, Kec. Semampir, Kota Surabaya, Jawa Timur",563400000,-,0,1,1,81280929049,PITA RUSMITA,Ika listiana,-,95,,
KEC. TENGGILIS MEJOYO,20532794,SMP ISKANDAR SAID,SMP,SWASTA,"Kendangsari Lebar No. 33, Kendangsari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",315044139,031315044139,,,A,147,6,10,6,6,2,1,10,6,,Kurikulum Merdeka,AH1111,Yayasan Pendidikan Islam Iskandar Said,4,4,"Nasikin, M.Pd","Holi, S.Kom",Belum Tersedia,1987,38,2018,PLN,22000,621,8976000000,10000000,,"Jl. Raya Ngagel 123, Keputran, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",6210000000,http://www.smpiskandarsaid.blogspot.com,0,0,1,318436176,Amintanah,NURI LAILI,smpsiskandarsaidsby@gmail.com,223,-7.326900,112.74930
KEC. SEMAMPIR,20532805,SD YP NASIONAL SURABAYA,SD,SWASTA,"Tenggumung Baru No 221, Pegirian, Kec. Semampir, Kota Surabaya, Jawa Timur",315044141,031315044141,,,B,149,6,6,2,7,1,1,7,3,,Kurikulum Merdeka,AK3204,YAYASAN PENDIDIKAN NASIONAL SEMAMPIR SURABAYA,3,3,CATUR SUKAMTO,M. NUR ROHIM,-,1978,47,2024,PLN,1300,527,530400000,6670000,,"Simo Sidomulyo Iii /.25 , Petemon, Kec. Sawahan, Kota Surabaya, Jawa Timur",3515090000,-,0,0,1,82230050069,Oktavian Krisnawati,EKA PUTRI AMBARWATI,nasionalsd@gmail.com,103,-7.223400,112.75140
KEC. TEGAL SARI,69900362,SMA MAWAR SHARON CHRISTIAN SCHOOL,SPK SMA,SWASTA,"Jl. Raya Ngagel 123, Keputran, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315044145,031315044145,,,A,150,8,19,8,8,1,1,19,8,,Kurikulum Internasional,AE6849,Yayasan Pendidikan Generasi Rajawali,5,5,Jusuf Soeginato Soetanto,Stefani Synthia Devi,"315,457,522",2014,11,2014,PLN & DIESEL,7700,8217,3141600000,32070000,,"Jl. Raya Candi Lontar No.106 Surabaya, Lontar, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",263519190000,http://www.mscs.sch.id,1,0,1,60002000,Louise Maria Dianawaty,ANIS ADE IRAWAN,sh.diknas@mscs.sch.id,243,,
KEC. SAWAHAN,20562015,TK MARDISIWI,TK,SWASTA,"Simo Sidomulyo Iii /.25 , Petemon, Kec. Sawahan, Kota Surabaya, Jawa Timur",315044611,031315044611,,,B,75,3,3,1,4,0,0,3,4,,Kurikulum Merdeka,AB4922,Margomulyo Abadi,1,1,Drs. Abdul Hadi,,315463332,1985,40,2019,PLN,4200,150,1713600000,16040000,,"Kawatan Vi/17-22 Surabaya, Alon-Alon Contong, Kec. Bubutan, Kota Surabaya, Jawa Timur",2406000000,-,0,0,1,81232637763,NURUL MUBAROKAH,Nurul Mubarokah S.Pd,tkmardisiswi25@gmail.coms,75,,
KEC. SAMBI KEREP,69899828,SMA ISLAM AL MIZAN,SMA,SWASTA,"Jl. Raya Candi Lontar No.106 Surabaya, Lontar, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",315044171,031315044171,,,A,151,6,6,5,6,5,1,6,5,,Kurikulum Merdeka,AW8416,Perkumpulan Pendidikan Islam Al Mizan,3,3,"Moch. Amien, SH",Dedy Safriadi,317441627,2015,10,2024,PLN,82500,8000,33660000000,12350000,,"Jl. Pacarkembang 77A Surabaya, Pacar Kembang, Kec. Tambaksari, Kota Surabaya, Jawa Timur",98800000000,http://www.smai-almizan.sch.id,1,1,1,317441627,AGUS ESTIATI,LILIE MURAT HANDOYO,lpi.almizan@yahoo.co.id,183,-7.269800,112.67100
KEC. BUBUTAN,20560530,TK HALIMAH,TK,SWASTA,"Kawatan Vi/17-22 Surabaya, Alon-Alon Contong, Kec. Bubutan, Kota Surabaya, Jawa Timur",315044613,031315044613,,,B,41,2,2,1,2,0,1,2,2,,Kurikulum Merdeka,AB4995,LP. MA'ARIF NU KOTA SURABAYA,31,4,"Drs. MOH. KHOLIL, M.Pd.I",MUHAMMAD SHOLIHUDDIN,315317470,2010,15,2021,PLN,1300,98,530400000,21280000,,"Jl. Mrutu Kalianyar 50 Surabaya, Wonokusumo, Kec. Semampir, Kota Surabaya, Jawa Timur",2085440000,-,0,0,1,85336800461,CHUSNUL CHOTIMAH,Fadilah,tkhalimah617@gmail.com,156,,
KEC. TAMBAKSARI,20561254,TK HANDAYANI,TK,SWASTA,"Jl. Pacarkembang 77A Surabaya, Pacar Kembang, Kec. Tambaksari, Kota Surabaya, Jawa Timur",315044614,031315044614,,,B,37,2,2,1,5,0,1,2,4,,Kurikulum Merdeka,AB5016,Yayasan Pendidikan Al-Fath Handayani,1,1,drg. Heny Rudiastuti,,-,2011,14,2020,PLN,2300,256,938400000,8570000,,"Jl. Kejawan Putih Tambak Vi / 1, Kejawen Putih Tambak, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",2193920000,-,0,0,1,87852400056,"Silfiani, SE, S.Pd.",Silfiani,handayani77asby@gmail.com,37,,
KEC. SEMAMPIR,20561780,TK HANDAYANI,TK,SWASTA,"Jl. Mrutu Kalianyar 50 Surabaya, Wonokusumo, Kec. Semampir, Kota Surabaya, Jawa Timur",315044615,031315044615,,,B,45,2,1,1,1,0,0,1,2,,Kurikulum Merdeka,AK3216,WIDYA BHAKTI,1,1,"Sri Marhaeni.Esti.,SE",,0,2010,15,2021,PLN,2200,0,897600000,6670000,,"Jl. Kutisari Utara I / 15, Kutisari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",0,-,0,0,1,81332299262,NURUL SAGITA HANDAYANI,Nurul Sagita Handayani,sagita3075@gmail.com,45,,
KEC. MULYOREJO,20558821,TKS YAA BUNAYYA,TK,SWASTA,"Jl. Kejawan Putih Tambak Vi / 1, Kejawen Putih Tambak, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",315044616,031315044616,,,A,141,10,12,1,10,0,1,12,13,,Kurikulum Merdeka,AN2179,YAYASAN PONDOK PESANTREN HIDAYATULLAH SURABAYA,7,5,"SAMSUDIN, SE, MM",PARDI,031 5939749,2010,15,2022,PLN,1300,1200,530400000,15750000,,"Jl. Karangan Pdam No. 24,Wiyung, Surabaya, Wiyung, Kec. Wiyung, Kota Surabaya, Jawa Timur",18900000000,http://www.yaabunayya.com,1,0,1,5962205,SITI FATHIMAH,NURMAZAYA KHURIN IN,yaabunayya.sby@gmail.com,225,,
KEC. TENGGILIS MEJOYO,20560751,TK ISLAM SAROJA,TK,SWASTA,"Jl. Kutisari Utara I / 15, Kutisari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",315044617,031315044617,,,B,62,4,4,1,5,0,0,4,5,,Kurikulum Merdeka,AH1134,YAYASAN MASJID ROUDHOTUL JANNAH,1,1,SANTOSO,FITRIA MAYASARI,318496344,2011,14,2011,PLN,5500,256,2244000000,10000000,,"Jl. Nginden Ii/18A Kel. Nginden Jangkungan, Nginden Jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",2560000000,-,0,1,1,318496344,KHIKMIATUN NAFI'AH,khikmiatun nafiah,tkislamsaroja15@yahoo.com,62,,
